variable_code,period_aggregation,rationale,domain
FLOOD_AFFECTED_ROAD_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
FLOOD_AFFECTED_SCHOOLS,average,Typical value for a single year within the period (not a six-year total).,exposure
FLOOD_AFFECTED_SECONDARY_ROAD_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
FLOOD_AFFECTED_TRACK_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
FLOOD_EVENTS_1974_TO_2023,fixed_window,"The variable definition fixes its own year window, so the same value applies to both period tabs.",hazard
FLOOD_HAZARD_INDEX,fixed_window,Composite index computed over a fixed reference period.,hazard
GOATS_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
GOAT_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
GOAT_POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
HARVESTED_PADDY_EXTENT_YALA_MAHA,average,Typical value for a single year within the period (not a six-year total).,exposure
HH_WITH_NO_PROPER_ACCESS_ROAD,average,Typical value for a single year within the period (not a six-year total).,exposure
HOTELS,average,Typical value for a single year within the period (not a six-year total).,exposure
HOUSES_NO_PROPER_SANITATION_FACILITIES,average,Typical value for a single year within the period (not a six-year total).,exposure
HOUSING_UNITS,average,Typical value for a single year within the period (not a six-year total).,exposure
HUMAN_ANIMAL_ATTACKS,average,Typical value for a single year within the period (not a six-year total).,exposure
INDUSTRIAL_ESTABLISHMENTS_SMALL_INFORMAL_INDUSTRIES,average,Typical value for a single year within the period (not a six-year total).,exposure
INDUSTRIES_FOOD_BEVERAGES_TOBACCO,average,Typical value for a single year within the period (not a six-year total).,exposure
IRRIGATED_PADDY_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
LANDSLIDE_AFFECTED_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
LANDSLIDE_AFFECTED_AREA_HIGH_MODERATE,average,Typical value for a single year within the period (not a six-year total).,exposure
LANDSLIDE_AFFECTED_MAIN_ROAD_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
LANDSLIDE_AFFECTED_RAILWAY_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
LANDSLIDE_AFFECTED_ROAD_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
LANDSLIDE_AFFECTED_SECONDARY_ROAD_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
LANDSLIDE_AFFECTED_TRACK_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
LANDSLIDE_EVENTS_1974_TO_2023,fixed_window,"The variable definition fixes its own year window, so the same value applies to both period tabs.",hazard
LANDSLIDE_HAZARD_INDEX,fixed_window,Composite index computed over a fixed reference period.,hazard
LANDSLIDE_PRONE_HUMAN_SETTLEMENTS,average,Typical value for a single year within the period (not a six-year total).,exposure
LAYER_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
LIGHTNING_INCIDENTS_1974_TO_2023,fixed_window,"The variable definition fixes its own year window, so the same value applies to both period tabs.",hazard
LIVESTOCK_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
LIVE_BIRD_COLLECTORS,average,Typical value for a single year within the period (not a six-year total).,exposure
MAIN_ROAD_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2022,max,Name states a maximum over a fixed historical window - it is already an aggregate.,exposure
MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2023,max,Name states a maximum over a fixed historical window - it is already an aggregate.,exposure
MAXIMUM_LANDSLIDE_AFFECTED_PEOPLE_DURING_1974_TO_2023,max,Name states a maximum over a fixed historical window - it is already an aggregate.,exposure
MEAT_PROCESSING_PLANTS,average,Typical value for a single year within the period (not a six-year total).,exposure
MINING_QUARRYING_INDUSTRIES,average,Typical value for a single year within the period (not a six-year total).,exposure
MITCH_BUFFALOES_ANNUAL_MILK_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MITCH_BUFFALOES_DAILY_MILK_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MITCH_BUFFALOES_MONTHLY_MILK_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MITCH_COWS_ANNUAL_MILK_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MITCH_COWS_DAILY_MILK_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MITCH_COWS_MONTHLY_MILK_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MITCH_GOATS_ANNUAL_MILK_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MITCH_GOATS_MONTHLY_MILK_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MONTHLY_EGG_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
MONTHLY_MUTTON_PRODUCTION_KG,average,Typical value for a single year within the period (not a six-year total).,exposure
MONTHLY_PORK_PRODUCTION_KG,average,Typical value for a single year within the period (not a six-year total).,exposure
OCCURRENCE_WARM_DAYS,fixed_window,Composite index computed over a fixed reference period.,hazard
OTHER_FIELD_CROPS_EXTENT,average,Typical value for a single year within the period (not a six-year total).,exposure
PADDY_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
PADDY_PRODUCTION_MT_MAHA_YALA,average,Typical value for a single year within the period (not a six-year total).,exposure
PASTURE_FODDER_EXTENT_ACRE,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_AREA_UNDER_HUMAN_SETTLEMENTS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_AREA_UNDER_URBAN_CLASSIFICATION,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_BUFFALO_FARMERS_LIVESTOCK_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_CATTLE_FARMERS_LIVESTOCK_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_COCONUT_EXTENT_AGRICULTURAL_LANDS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_CROSS_LW_LR_D,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_DUROCK_BREEDS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_EXTENSIVE,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_EXTENT_MAJOR_FLOODS_AFFECTED,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_FOREST_COVER,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_GOAT_FARMERS_LIVESTOCK_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_HH_FED_BY_WELLS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_HH_PIPE_BORN_WATER,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_HH_RURAL_WATER_SUPPLY,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_HOUSES_WITH_VULNERABLE_ROOFS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_INTENSIVE,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_IRRIGATED_PADDY_AREA_PADDY_EXTENT,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_LANDSLIDE_AFFECTED_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_LAND_RACE_BREEDS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_LARGE_WHITE_BREEDS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_LIVESTOCK_FARMERS_AGRICULTURAL_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_LOCAL_BREEDS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_MULTI_STORIED_BUILDINGS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_PADDY_FARMERS_AGRICULTURAL_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_PADDY_LAND_TOTAL_LAND_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_PIG_FARMERS_LIVESTOCK_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_POULTRY_FARMERS_LIVESTOCK_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_POULTRY_RAISING_FAMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_RAIN_FED_PADDY_LANDS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_ROOFS_CONSIST_GALVANIZE_SHEETS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_SEMI_INTENSIVE,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_SHEEP_FARMERS_LIVESTOCK_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_SWINE_SHEEP_RAISING_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_TEMPORARY_CROP_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_TEMPORARY_HOUSES,average,Typical value for a single year within the period (not a six-year total).,exposure
PCT_WATER_SURFACE_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
PERSONS_ENGAGED_FISH_PROCESSING_INDUSTRIES,average,Typical value for a single year within the period (not a six-year total).,exposure
PERSONS_ENGAGED_MANUFACTURE_BEVERAGES_INDUSTRIES,average,Typical value for a single year within the period (not a six-year total).,exposure
PERSONS_ENGAGED_MANUFACTURE_DAIRY_PRODUCT_INDUSTRIES,average,Typical value for a single year within the period (not a six-year total).,exposure
PERSONS_ENGAGED_MANUFACTURE_FOOD_PRODUCTS,average,Typical value for a single year within the period (not a six-year total).,exposure
PERSONS_ENGAGED_SMALL_INFORMAL_INDUSTRIES,average,Typical value for a single year within the period (not a six-year total).,exposure
PIG_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
PIG_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
PIG_POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
POPULATION_DENSITY,average,Typical value for a single year within the period (not a six-year total).,exposure
POULTRY_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
POULTRY_FEED_MANUFACTURES_COMMERCIAL,average,Typical value for a single year within the period (not a six-year total).,exposure
POULTRY_FEED_SELF_MIXED_MIXERS,average,Typical value for a single year within the period (not a six-year total).,exposure
POULTRY_POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
PUBLIC_HOSPITALS,average,Typical value for a single year within the period (not a six-year total).,exposure
RAILWAY_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
ROAD_DENSITY,average,Typical value for a single year within the period (not a six-year total).,exposure
SCHOOLS_LANDSLIDE_PRONE_AREA_HIGH_MODERATE,average,Typical value for a single year within the period (not a six-year total).,exposure
SECONDARY_ROAD_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
SHEEP_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
SHEEP_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
SHEEP_POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
SLAUGHTER_HOUSES_MUNICIPAL,average,Typical value for a single year within the period (not a six-year total).,exposure
SMALL_SCALE_POULTRY_PROCESSING_ESTABLISHMENTS,average,Typical value for a single year within the period (not a six-year total).,exposure
STANDARD_PRECIPITATION_INDEX,fixed_window,Composite index computed over a fixed reference period.,hazard
STRONG_WIND_EVENTS_1978_TO_2023,fixed_window,"The variable definition fixes its own year window, so the same value applies to both period tabs.",hazard
TANKS_ACTIVE_INLAND_FISHERY,average,Typical value for a single year within the period (not a six-year total).,exposure
TEA_EXTENT,average,Typical value for a single year within the period (not a six-year total).,exposure
TEA_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
TEMPORARY_CROP_OPERATORS,average,Typical value for a single year within the period (not a six-year total).,exposure
TOTAL_PLANTS,average,Typical value for a single year within the period (not a six-year total).,exposure
TOURISM_ATTRACTION_PLACES,average,Typical value for a single year within the period (not a six-year total).,exposure
TRACK_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
VEGETABLES_EXTENT,average,Typical value for a single year within the period (not a six-year total).,exposure
VERY_WET_DAYS,average,Typical value for a single year within the period (not a six-year total).,hazard
WATER_INTAKE_POINTS,average,Typical value for a single year within the period (not a six-year total).,exposure
WATER_SURFACE_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
